test_set,blur_size,noise_level,accuracy,f1,precision_overall,recall_overall,precision_immune,precision_other,precision_stromal,precision_tumour,recall_immune,recall_other,recall_stromal,recall_tumour,f1_immune,f1_other,f1_stromal,f1_tumour,confidence_overall,confidence_immune_avg,confidence_other_avg,confidence_stromal_avg,confidence_tumour_avg,confidence_immune_std,confidence_other_std,confidence_stromal_std,confidence_tumour_std,count_pred_immune,count_pred_other,count_pred_stromal,count_pred_tumour,confusion_matrix
1,3,5,0.59175,0.5783828347269596,0.6019455684918209,0.59175,0.7318059299191375,0.5237341772151899,0.6101860920666013,0.5420560747663551,0.543,0.331,0.623,0.87,0.6234213547646383,0.4056372549019608,0.6165264720435428,0.6679462571976967,0.52220297,0.5884531,0.44016,0.5595967,0.50009346,0.16602099,0.08478784,0.13566855,0.12462213,742,632,1021,1605,"[[543, 110, 118, 229], [92, 331, 248, 329], [70, 130, 623, 177], [37, 61, 32, 870]]"
1,5,5,0.5615,0.5438380934166915,0.5802720895020773,0.5615,0.7569331158238173,0.47333333333333333,0.5791940018744143,0.5116279069767442,0.464,0.284,0.618,0.88,0.5753254804711717,0.355,0.5979680696661829,0.6470588235294118,0.520884,0.57625264,0.43902048,0.5637574,0.50311136,0.1545399,0.08368689,0.13450924,0.12488318,613,600,1067,1720,"[[464, 123, 134, 279], [73, 284, 279, 364], [53, 132, 618, 197], [23, 61, 36, 880]]"
1,7,5,0.54075,0.5182121426722996,0.5699338782621419,0.54075,0.7823529411764706,0.45293072824156305,0.5511111111111111,0.49334073251942284,0.399,0.255,0.62,0.889,0.528476821192053,0.32629558541266795,0.5835294117647059,0.6345467523197716,0.5194193,0.55106175,0.4402916,0.5672436,0.5053289,0.13882534,0.08222501,0.13451263,0.12550543,510,563,1125,1802,"[[399, 133, 153, 315], [58, 255, 306, 381], [41, 122, 620, 217], [12, 53, 46, 889]]"
1,9,5,0.5225,0.49390866190365024,0.553539899280882,0.5225,0.7942477876106194,0.41040462427745666,0.5227085053674649,0.4867986798679868,0.359,0.213,0.633,0.885,0.49449035812672176,0.2804476629361422,0.5725915875169606,0.6281050390347764,0.51884604,0.52772564,0.4410268,0.5676846,0.5063218,0.12770997,0.08152959,0.13575356,0.12577881,452,519,1211,1818,"[[359, 136, 181, 324], [53, 213, 340, 394], [33, 119, 633, 215], [7, 51, 57, 885]]"
1,19,5,0.50175,0.46235227789161526,0.5402660228310845,0.50175,0.8207792207792208,0.3852040816326531,0.4748102139406487,0.48027057497181513,0.316,0.151,0.688,0.852,0.4563176895306859,0.21695402298850575,0.5618619844834626,0.6142754145638067,0.5116262,0.48427132,0.42432988,0.5704023,0.48884434,0.10479496,0.07232617,0.13800544,0.12336371,385,392,1449,1774,"[[316, 110, 241, 333], [41, 151, 430, 378], [21, 80, 688, 211], [7, 51, 90, 852]]"
1,0,10,0.6145,0.6040760885258611,0.6198460729820965,0.6145,0.7093301435406698,0.5718562874251497,0.624,0.5741978609625669,0.593,0.382,0.624,0.859,0.6459694989106753,0.4580335731414868,0.624,0.688301282051282,0.5235917,0.5973486,0.44284496,0.55469763,0.49763724,0.17320007,0.0843016,0.13656439,0.12599042,836,668,1000,1496,"[[593, 101, 111, 195], [105, 382, 232, 281], [80, 135, 624, 161], [58, 50, 33, 859]]"
1,1,10,0.61025,0.5996667051902523,0.6164115563658543,0.61025,0.7096385542168675,0.563338301043219,0.6260245901639344,0.5666447800393959,0.589,0.378,0.611,0.863,0.6437158469945355,0.4524236983842011,0.618421052631579,0.6841062227506937,0.52316344,0.599007,0.44008094,0.5550902,0.49797475,0.17212078,0.085543916,0.13543604,0.12639438,830,671,976,1523,"[[589, 102, 108, 201], [104, 378, 227, 291], [81, 140, 611, 168], [56, 51, 30, 863]]"
1,3,10,0.592,0.578830472398622,0.6016431561906168,0.592,0.7269076305220884,0.5234375,0.6128712871287129,0.5433562071116657,0.543,0.335,0.619,0.871,0.6216370921579851,0.40853658536585363,0.6159203980099502,0.6692278140606992,0.52221215,0.58845377,0.43994865,0.5604911,0.50006884,0.16631363,0.0846718,0.13557729,0.12486107,747,640,1010,1603,"[[543, 114, 115, 228], [95, 335, 244, 326], [72, 131, 619, 178], [37, 60, 32, 871]]"
1,5,10,0.562,0.5446830341926339,0.5803996083216102,0.562,0.7491909385113269,0.4792703150912106,0.581766917293233,0.5113702623906705,0.463,0.289,0.619,0.877,0.5723114956736712,0.3605739238927012,0.5998062015503876,0.6460405156537753,0.5207716,0.57718843,0.43841356,0.5632496,0.50304556,0.15442708,0.08417839,0.13445604,0.124739364,618,603,1064,1715,"[[463, 126, 133, 278], [75, 289, 274, 362], [55, 128, 619, 198], [25, 60, 38, 877]]"
1,7,10,0.544,0.5221266163696884,0.5721137977363695,0.544,0.7816091954022989,0.45598591549295775,0.5547576301615799,0.49610244988864144,0.408,0.259,0.618,0.891,0.5361366622864652,0.33035714285714285,0.5846736045411542,0.6373390557939914,0.5191484,0.5483362,0.43989605,0.56830204,0.505241,0.13946113,0.08221235,0.13341606,0.12558465,522,568,1114,1796,"[[408, 133, 150, 309], [59, 259, 304, 378], [41, 123, 618, 218], [14, 53, 42, 891]]"
1,9,10,0.52425,0.4960699664305901,0.5555652894245678,0.52425,0.7924944812362031,0.4168260038240918,0.5256198347107438,0.48732083792723263,0.359,0.218,0.636,0.884,0.4941500344115623,0.2862770847012475,0.5755656108597285,0.6282871357498223,0.5185691,0.52760005,0.44134587,0.56675583,0.5064362,0.12820232,0.08147002,0.1355553,0.12565503,453,523,1210,1814,"[[359, 135, 181, 325], [54, 218, 337, 391], [33, 117, 636, 214], [7, 53, 56, 884]]"
1,19,10,0.502,0.46327309990095716,0.5408398678448562,0.502,0.8226221079691517,0.38676844783715014,0.47372060857538034,0.4802483069977427,0.32,0.152,0.685,0.851,0.4607631389488841,0.21823402727925342,0.5600981193785772,0.613997113997114,0.5113957,0.48527655,0.4246236,0.5695527,0.48891646,0.10478535,0.07303251,0.13808258,0.12322783,389,393,1446,1772,"[[320, 109, 242, 329], [40, 152, 429, 379], [22, 80, 685, 213], [7, 52, 90, 851]]"
1,0,20,0.6085,0.5979698621650713,0.6128647579967118,0.6085,0.6931949250288351,0.5681818181818182,0.6214285714285714,0.5686537173476223,0.601,0.375,0.609,0.849,0.6438136047134441,0.45180722891566266,0.6151515151515151,0.681107099879663,0.5222909,0.59921515,0.43649015,0.55226016,0.4958778,0.17495766,0.08098853,0.13449365,0.1248001,867,660,980,1493,"[[601, 97, 107, 195], [112, 375, 232, 281], [89, 134, 609, 168], [65, 54, 32, 849]]"
1,1,20,0.60525,0.5941022531772744,0.6095148957116356,0.60525,0.6920415224913494,0.5587786259541985,0.6227979274611399,0.5644415069398546,0.6,0.366,0.601,0.854,0.6427423674343867,0.4422960725075529,0.611704834605598,0.6796657381615598,0.52238536,0.5994169,0.4356164,0.5511247,0.49747726,0.17422508,0.08185323,0.13480294,0.12486832,867,655,965,1513,"[[600, 99, 103, 198], [114, 366, 228, 292], [90, 140, 601, 169], [63, 50, 33, 854]]"
1,3,20,0.58925,0.575943585093617,0.5983524151634199,0.58925,0.7142857142857143,0.533011272141707,0.6062124248496994,0.5399002493765586,0.555,0.331,0.605,0.866,0.6246482836240855,0.4083898827884022,0.6056056056056056,0.6651305683563749,0.5211897,0.5900471,0.43834084,0.5571396,0.49754184,0.16838874,0.08236627,0.13410044,0.12476801,777,621,998,1604,"[[555, 102, 118, 225], [97, 331, 244, 328], [81, 129, 605, 185], [44, 59, 31, 866]]"
1,5,20,0.5615,0.5436069378226971,0.5778556380028013,0.5615,0.7460815047021944,0.47297297297297297,0.5799043062200957,0.5124637681159421,0.476,0.28,0.606,0.884,0.5811965811965812,0.35175879396984927,0.5926650366748166,0.6488073394495413,0.5192102,0.5795188,0.43575576,0.56080407,0.500348,0.15491524,0.082179956,0.13318557,0.12528513,638,592,1045,1725,"[[476, 122, 130, 272], [79, 280, 275, 366], [60, 131, 606, 203], [23, 59, 34, 884]]"
1,7,20,0.54275,0.5204773208387747,0.5680391227946294,0.54275,0.7744916820702403,0.4528985507246377,0.5470008952551477,0.4977653631284916,0.419,0.25,0.611,0.891,0.5438027255029202,0.32216494845360827,0.5772319319792159,0.6387096774193548,0.51788294,0.5510765,0.43803906,0.56327283,0.5041486,0.1391937,0.080519274,0.13339894,0.12575048,541,552,1117,1790,"[[419, 123, 153, 305], [64, 250, 308, 378], [44, 129, 611, 216], [14, 50, 45, 891]]"
1,9,20,0.5255,0.4981806698728675,0.5542809100624205,0.5255,0.7827004219409283,0.42003853564547206,0.5271059216013344,0.4872787610619469,0.371,0.218,0.632,0.881,0.5033921302578019,0.28703094140882157,0.574806730331969,0.6274928774928775,0.5168665,0.5272339,0.4377973,0.56345093,0.5059529,0.12905902,0.07888254,0.1349958,0.12532742,474,519,1199,1808,"[[371, 133, 174, 322], [58, 218, 334, 390], [36, 117, 632, 215], [9, 51, 59, 881]]"
1,19,20,0.50375,0.4658150259360179,0.5407711425567561,0.50375,0.8211586901763224,0.38403990024937656,0.4745998608211552,0.48328611898017,0.326,0.154,0.682,0.853,0.4667143879742305,0.21984296930763741,0.5597045547804678,0.616998191681736,0.5096988,0.48904458,0.42145193,0.56597906,0.4885724,0.1062571,0.07178366,0.13729963,0.12285978,397,401,1437,1765,"[[326, 107, 244, 323], [41, 154, 427, 378], [22, 85, 682, 211], [8, 55, 84, 853]]"
