test_set,blur_size,noise_level,accuracy,f1,confidence_overall,precision_immune,precision_other,precision_stromal,precision_tumour,recall_immune,recall_other,recall_stromal,recall_tumour,confidence_immune,confidence_other,confidence_stromal,confidence_tumour
test_set_3,3,0,0.48375,0.42016988319446774,0.72484684,0.37374517374517374,0.39849624060150374,0.6846846846846847,0.7266949152542372,0.968,0.053,0.228,0.686,0.8714934,0.57251084,0.5811722,0.73884505
test_set_3,5,0,0.37475,0.2849211310006813,0.7719176,0.3014705882352941,0.37777777777777777,0.6266666666666667,0.7321428571428571,0.984,0.017,0.047,0.451,0.9092158,0.58713114,0.5547551,0.6898487
test_set_3,7,0,0.3025,0.1934493439156812,0.8203826,0.2692516268980477,0.38461538461538464,0.6428571428571429,0.7158671586715867,0.993,0.005,0.018,0.194,0.92591256,0.48114103,0.5547753,0.64643276
test_set_3,9,0,0.281,0.1595199352564272,0.840664,0.2619361646003693,0.0,0.631578947368421,0.6263157894736842,0.993,0.0,0.012,0.119,0.93112874,nan,0.5501897,0.66033524
test_set_3,19,0,0.25625,0.11447916936077876,0.83398205,0.25407747196738023,0.0,0.7142857142857143,0.3333333333333333,0.997,0.0,0.005,0.023,0.89419174,nan,0.5437863,0.59119743
test_set_3,0,1,0.309,0.196638690175216,0.65252626,0.37828162291169454,0.0,0.29063883617963315,0.0,0.317,0.0,0.919,0.0,0.5646841,nan,0.7081911,nan
test_set_3,1,1,0.3125,0.20020405985564674,0.6525222,0.38987043580683156,0.0,0.29165344335131704,0.0,0.331,0.0,0.919,0.0,0.5658643,nan,0.70841914,nan
test_set_3,3,1,0.3135,0.2006425239325577,0.65228975,0.38497109826589593,0.0,0.2937799043062201,0.0,0.333,0.0,0.921,0.0,0.5748363,nan,0.70263684,nan
test_set_3,5,1,0.31725,0.20584397349383943,0.65138197,0.40656851642129105,0.0,0.29194738530638437,0.0,0.359,0.0,0.91,0.0,0.57243776,nan,0.70205265,nan
test_set_3,7,1,0.317,0.2039853277544895,0.65012574,0.3940774487471526,0.0,0.29541813521307275,0.0,0.346,0.0,0.922,0.0,0.5802388,nan,0.6976105,nan
test_set_3,9,1,0.3175,0.2053005774675525,0.6497827,0.406720741599073,0.0,0.2930484693877551,0.0,0.351,0.0,0.919,0.0,0.58020395,nan,0.6968272,nan
test_set_3,19,1,0.2995,0.18636535277061564,0.6480004,0.3996865203761755,0.5,0.28035714285714286,0.0,0.255,0.001,0.942,0.0,0.570037,0.38459364,0.6827256,nan
test_set_3,0,3,0.251,0.10338174250413222,0.7876355,0.6363636363636364,0.0,0.24993732765104035,0.0,0.007,0.0,0.997,0.0,0.54932225,nan,0.81282765,nan
test_set_3,1,3,0.25175,0.10366574733625668,0.78783923,0.7,0.0,0.2506265664160401,0.0,0.007,0.0,1.0,0.0,0.5409292,nan,0.81212974,nan
test_set_3,3,3,0.2505,0.10190797545523814,0.7883651,0.6666666666666666,0.0,0.2498748122183275,0.0,0.004,0.0,0.998,0.0,0.5198484,nan,0.8128186,nan
test_set_3,5,3,0.25075,0.10199004975124379,0.78833586,0.8,0.0,0.2500625782227785,0.0,0.004,0.0,0.999,0.0,0.5225241,nan,0.8134855,nan
