test_set,blur_size,noise_level,accuracy,f1,confidence_overall,precision_immune,precision_other,precision_stromal,precision_tumour,recall_immune,recall_other,recall_stromal,recall_tumour,confidence_immune,confidence_other,confidence_stromal,confidence_tumour
2,19,20,0.25325,0.11707287933094385,0.8380332,0.0,0.08857142857142856,0.269041095890411,0.0,0.0,0.031,0.982,0.0,nan,0.6685368,0.89664745,nan
2,0,30,0.25,0.1,0.9753961,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,nan,nan,0.97490376,nan
2,1,30,0.25,0.1,0.97384816,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,nan,nan,0.9737261,nan
2,3,30,0.25,0.1,0.9657312,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,nan,nan,0.96868265,nan
2,5,30,0.25,0.10002000400080016,0.9563135,0.0,0.0,0.25006251562890724,0.0,0.0,0.0,1.0,0.0,nan,nan,0.9654793,nan
2,7,30,0.25,0.10002000400080016,0.9523552,0.0,0.0,0.25006251562890724,0.0,0.0,0.0,1.0,0.0,nan,nan,0.96488416,nan
2,9,30,0.25,0.10002000400080016,0.9513123,0.0,0.0,0.25006251562890724,0.0,0.0,0.0,1.0,0.0,nan,nan,0.9650918,nan
2,19,30,0.25,0.10049751243781094,0.95274425,0.0,0.2,0.2500625782227785,0.0,0.0,0.001,0.999,0.0,nan,0.51864374,0.96714413,nan
3,0,0,0.593,0.5341819509021493,0.6347241,0.6029304029304029,0.3815028901734104,0.5152013147082991,0.6875502008032128,0.823,0.066,0.627,0.856,0.7317688,0.43095833,0.66373014,0.6764766
3,1,0,0.56225,0.4883227317695027,0.6599982,0.5005636978579482,0.3125,0.5773584905660377,0.6531835205992509,0.888,0.03,0.459,0.872,0.78145957,0.44204584,0.64628637,0.7088848
3,3,0,0.5035,0.4473591359914625,0.62716836,0.5387123064384678,0.2317596566523605,0.5832147937411095,0.4839412084921067,0.661,0.054,0.41,0.889,0.70953876,0.50129944,0.60000795,0.7142663
3,5,0,0.40825,0.3933463145149376,0.6083994,0.5966029723991507,0.20341047503045068,0.5818181818181818,0.3802889576883385,0.281,0.167,0.448,0.737,0.58565223,0.59407485,0.5942639,0.6763159
3,7,0,0.37225,0.36875683378381263,0.6184449,0.6058631921824105,0.19939804364183597,0.5681818181818182,0.36845549738219896,0.186,0.265,0.475,0.563,0.5395188,0.6622946,0.60988396,0.6266915
3,9,0,0.35175,0.35379675880394107,0.62680686,0.5901060070671378,0.19952774498229045,0.5468577728776185,0.36379928315412186,0.167,0.338,0.496,0.406,0.5420304,0.6792473,0.62590325,0.5883123
3,19,0,0.333,0.32248662603945444,0.6597509,0.6213235294117647,0.20670897552130554,0.5017985611510791,0.36341463414634145,0.169,0.456,0.558,0.149,0.55071634,0.69806445,0.64831984,0.48381934
3,0,1,0.59275,0.5352415635262981,0.63548595,0.6206630686198921,0.384180790960452,0.5055118110236221,0.6815286624203821,0.805,0.068,0.642,0.856,0.72692,0.43813282,0.66783625,0.6803306
